,NH3,ALCOHOL,CO2,NH4,TEMPERATURE,HUMIDITY,Type,Class,type
1,28.96,0.01,3.99,5.8,29,16,F,0,4
2,24.75,0.01,3.57,5.27,29,16,F,0,4
3,43.9,0.01,5.05,7.1,29,16,F,0,4
4,21.52,0.01,3.75,5.45,29,16,F,0,4
5,22.86,0.01,3.89,5.67,29,16,F,0,4
6,25.25,0.01,4.04,5.86,29,16,F,0,4
7,27.31,0.01,4.25,6.13,29,16,F,0,4
8,33.18,0.01,4.77,6.76,29,16,F,0,4
9,31.89,0.01,4.65,6.62,29,16,F,0,4
10,23.32,0.01,3.84,5.61,29,16,F,0,4
11,22.86,0.01,3.69,5.42,29,16,F,0,4
12,31.89,0.01,4.74,6.73,29,16,F,0,4
13,27.85,0.01,4.35,6.47,29,16,F,0,4
14,28.4,0.01,4.5,6.44,29,16,F,0,4
15,23.79,0.01,4.34,6.23,29,16,F,0,4
16,24.27,0.01,4.36,6.26,29,16,F,0,4
17,34.42,0.01,5.01,7.06,29,16,F,0,4
18,28.96,0.01,4.95,6.99,29,16,F,0,4
19,26.26,0.01,5.27,7.37,29,16,F,0,4
20,25.75,0.01,5.21,7.29,29,16,F,0,4
21,26.26,0.01,5.24,7.33,29,16,F,0,4
22,23.79,0.01,5.01,7.06,29,16,F,0,4
23,27.9,0.01,4.36,6.26,29,16,F,0,4
24,27.18,0.01,4.25,6.13,29,16,F,0,4
25,26.82,0.01,4.23,6.09,29,16,F,0,4
26,28.28,0.01,4.45,6.37,29,16,F,0,4
27,28.66,0.01,4.42,6.33,29,16,F,0,4
28,29.44,0.01,4.53,6.47,29,16,F,0,4
29,29.84,0.01,4.62,6.58,29,16,F,0,4
30,30.25,0.01,4.65,6.62,29,16,F,0,4
31,26.26,0.01,4.77,6.76,29,16,F,0,4
32,25.75,0.01,4.62,6.58,29,16,F,0,4
33,24.75,0.01,4.65,6.62,29,16,F,0,4
34,23.79,0.01,4.65,6.62,29,16,F,0,4
35,25.25,0.01,4.95,6.99,29,16,F,0,4
36,27.85,0.01,5.27,7.37,29,16,F,0,4
37,31.89,0.01,5.61,7.78,29,16,F,0,4
38,37.83,0.01,6.04,8.29,29,16,F,0,4
39,35.08,0.01,6,8.25,29,16,F,0,4
40,35.75,0.01,6.04,8.29,29,16,F,0,4
41,30.69,0.01,5.08,7.14,29,16,F,0,4
42,30.1,0.01,5.01,7.06,29,16,F,0,4
43,24.75,0.01,4.53,6.47,29,16,F,0,4
44,24.75,0.01,4.59,6.54,29,16,F,0,4
45,30.28,0.01,4.15,5.99,29,16,F,0,4
46,30.25,0.01,4.12,5.96,29,16,F,0,4
47,24.75,0.01,3.94,5.73,29,16,F,0,4
48,23.79,0.01,3.91,5.7,29,16,F,0,4
49,31.92,0.01,5.38,7.26,29,16,F,0,4
50,23.79,0.01,3.91,5.7,29,16,F,0,4
10A,30.69,0.01,4.71,6.69,29,16,F,0,4
10B,29.52,0.01,4.36,6.26,29,16,F,0,4
10C,33.13,0.01,4.65,6.62,29,16,F,0,4
10D,29.52,0.01,4.59,6.54,29,16,F,0,4
10E,28.96,0.01,4.31,6.2,29,16,F,0,4
1,28.96,0.01,6.26,8.56,27,17,G,0,5
2,40.01,0.01,7.69,10.22,27,17,G,0,5
3,32.51,0.01,6.78,9.16,27,17,G,0,5
4,30.1,0.01,6.5,8.83,27,17,G,0,5
5,30.69,0.01,6.46,8.79,27,17,G,0,5
6,30.69,0.01,6.42,8.74,27,17,G,0,5
7,30.1,0.01,6.34,8.65,27,17,G,0,5
8,24.86,0.01,5.37,7.49,27,17,G,0,5
9,24.75,0.01,5.61,7.78,27,17,G,0,5
10,24.75,0.01,5.34,7.45,27,17,G,0,5
11,25.25,0.01,5.4,7.53,27,17,G,0,5
12,27.85,0.01,5.68,7.86,27,17,G,0,5
13,27.31,0.01,5.68,7.86,27,17,G,0,5
14,30.69,0.01,5.89,8.12,27,17,G,0,5
15,40.77,0.01,6.99,9.41,27,17,G,0,5
16,26.78,0.01,6.5,8.83,27,17,G,0,5
17,40.01,0.01,6.82,9.21,27,17,G,0,5
18,25.75,0.01,5.62,7.58,27,17,G,0,5
19,42.31,0.01,6.54,8.88,27,17,G,0,5
20,43.1,0.01,6.26,8.56,27,17,G,0,5
21,41.53,0.01,6.26,8.56,27,17,G,0,5
22,43.1,0.01,6.23,8.51,27,17,G,0,5
23,44.72,0.01,6.34,8.65,27,17,G,0,5
24,42.31,0.01,6.23,8.51,27,17,G,0,5
25,45.55,0.01,6.54,8.88,27,17,G,0,5
26,32.51,0.01,5.21,7.29,27,17,G,0,5
27,33.77,0.01,5.37,7.49,27,17,G,0,5
28,31.28,0.01,5.14,7.22,27,17,G,0,5
29,28.66,0.01,5.94,7.73,27,17,G,0,5
30,26.32,0.01,5.36,7.26,27,17,G,0,5
31,24.27,0.01,5.59,7.54,27,17,G,0,5
32,24.75,0.01,5.71,7.69,27,17,G,0,5
33,25.25,0.01,5.77,7.76,27,17,G,0,5
34,24.75,0.01,5.74,7.73,27,17,G,0,5
35,26.26,0.01,6.01,8.06,27,17,G,0,5
36,26.78,0.01,6.14,8.22,27,17,G,0,5
37,26.78,0.01,6.08,8.14,27,17,G,0,5
38,27.31,0.01,6.14,8.22,27,17,G,0,5
39,27.85,0.01,6.21,8.29,27,17,G,0,5
40,35.75,0.01,6.04,8.29,27,17,G,0,5
41,41.53,0.01,6.46,8.79,27,17,G,0,5
42,39.27,0.01,6.54,8.93,27,17,G,0,5
43,26.75,0.01,5.53,7.47,27,17,G,0,5
44,26.75,0.01,5.59,7.54,27,17,G,0,5
45,30.28,0.01,6.15,7.99,27,17,G,0,5
46,30.25,0.01,6.12,7.96,27,17,G,0,5
47,26.75,0.01,5.94,6.73,27,17,G,0,5
48,25.79,0.01,5.91,6.93,27,17,G,0,5
49,33.92,0.01,6.38,8.26,27,17,G,0,5
50,27.79,0.01,5.91,7.7,27,17,G,0,5
10A,40.77,0.01,6.26,8.56,27,17,G,0,5
10B,37.83,0.01,5.96,8.2,27,17,G,0,5
10C,41.53,0.01,6.34,8.65,27,17,G,0,5
10D,39.27,0.01,6.19,8.47,27,17,G,0,5
10E,36.43,0.01,6.23,8.51,27,17,G,0,5
1,38.96,0.01,6.36,8.66,32,16,H,0,6
2,50.01,0.01,7.99,10.27,32,16,H,0,6
3,42.51,0.01,6.88,9.26,32,16,H,0,6
4,56.64,0.01,6.5,8.83,32,16,H,0,6
5,49.01,0.01,5.82,8.03,32,16,H,0,6
6,43.9,0.01,5.61,7.78,32,16,H,0,6
7,50.1,0.01,6.44,8.75,32,16,H,0,6
8,44.72,0.01,5.47,7.61,32,16,H,0,6
9,46.4,0.01,5.68,7.86,32,16,H,0,6
10,42.31,0.01,5.47,7.61,32,16,H,0,6
11,43.1,0.01,5.54,7.7,32,16,H,0,6
12,45.55,0.01,5.68,7.86,32,16,H,0,6
13,45.55,0.01,5.68,7.86,32,16,H,0,6
14,50.83,0.01,6.11,8.38,32,16,H,0,6
15,50.77,0.01,7.1,9.71,32,16,H,0,6
16,36.78,0.01,6.6,8.93,32,16,H,0,6
17,50.01,0.01,7.05,9.31,32,16,H,0,6
18,43.1,0.01,5.54,7.7,32,16,H,0,6
19,52.31,0.01,6.64,8.98,32,16,H,0,6
20,53.1,0.01,6.36,8.76,32,16,H,0,6
21,51.53,0.01,6.36,8.76,32,16,H,0,6
22,53.1,0.01,6.23,8.61,32,16,H,0,6
23,56.64,0.01,6.5,8.83,32,16,H,0,6
24,57.66,0.01,6.5,8.83,32,16,H,0,6
25,55.55,0.01,6.64,8.98,32,16,H,0,6
26,37.83,0.01,5.14,7.22,32,16,H,0,6
27,43.9,0.01,5.54,7.7,32,16,H,0,6
28,37.13,0.01,5.11,7.18,32,16,H,0,6
29,47.25,0.01,5.78,7.99,32,16,H,0,6
30,36.32,0.01,5.36,7.4,32,16,H,0,6
31,34.27,0.01,5.69,7.59,32,16,H,0,6
32,34.75,0.01,5.75,7.7,32,16,H,0,6
33,35.25,0.01,5.79,7.83,32,16,H,0,6
34,36.43,0.01,5.01,7.06,32,16,H,0,6
35,49.01,0.01,5.96,8.2,32,16,H,0,6
36,52.7,0.01,6.26,8.56,32,16,H,0,6
37,53.66,0.01,6.26,8.56,32,16,H,0,6
38,51.76,0.01,6.19,8.47,32,16,H,0,6
39,51.76,0.01,6.19,8.47,32,16,H,0,6
40,52.7,0.01,6.26,8.56,32,16,H,0,6
41,51.53,0.01,6.56,8.89,32,16,H,0,6
42,49.27,0.01,6.64,8.97,32,16,H,0,6
43,36.75,0.01,5.62,7.49,32,16,H,0,6
44,36.75,0.01,5.64,7.59,32,16,H,0,6
45,40.28,0.01,6.26,7.83,32,16,H,0,6
46,48.13,0.01,5.82,8.03,32,16,H,0,6
47,37.13,0.01,5.08,7.14,32,16,H,0,6
48,37.83,0.01,5.08,7.14,32,16,H,0,6
49,49.91,0.01,6.04,8.29,32,16,H,0,6
50,48.13,0.01,5.82,8.03,32,16,H,0,6
10A,50.77,0.01,6.56,8.66,32,16,H,0,6
10B,51.76,0.01,6.19,8.47,32,16,H,0,6
10C,51.53,0.01,6.64,8.75,32,16,H,0,6
10D,49.27,0.01,6.49,8.57,32,16,H,0,6
10E,46.43,0.01,6.53,8.61,32,16,H,0,6
1,40.28,0.01,6.26,7.83,28,16,I,0,7
2,50.77,0.01,7.1,9.71,28,16,I,0,7
3,43.9,0.01,5.61,7.78,28,16,I,0,7
4,57.66,0.01,6.5,8.83,28,16,I,0,7
5,50.1,0.01,6.44,8.75,28,16,I,0,7
6,45.55,0.01,5.68,7.86,28,16,I,0,7
7,50.77,0.01,7.1,9.71,28,16,I,0,7
8,45.55,0.01,5.68,7.86,28,16,I,0,7
9,47.25,0.01,5.78,7.99,28,16,I,0,7
10,43.1,0.01,5.54,7.7,28,16,I,0,7
11,43.9,0.01,5.54,7.7,28,16,I,0,7
12,46.65,0.01,5.78,7.95,28,16,I,0,7
13,46.43,0.01,6.53,8.61,28,16,I,0,7
14,51.53,0.01,6.36,8.76,28,16,I,0,7
15,51.77,0.01,7.14,9.82,28,16,I,0,7
16,37.13,0.01,5.11,7.18,28,16,I,0,7
17,52.31,0.01,6.64,8.98,28,16,I,0,7
18,43.9,0.01,5.54,7.7,28,16,I,0,7
19,53.33,0.01,6.74,9.14,28,16,I,0,7
20,53.66,0.01,6.26,8.56,28,16,I,0,7
21,52.31,0.01,6.64,8.98,28,16,I,0,7
22,54.13,0.01,6.33,8.78,28,16,I,0,7
23,57.66,0.01,6.5,8.83,28,16,I,0,7
24,58.46,0.01,6.56,8.89,28,16,I,0,7
25,56.64,0.01,6.5,8.83,28,16,I,0,7
26,38.83,0.01,5.25,7.54,28,16,I,0,7
27,47.25,0.01,5.78,7.99,28,16,I,0,7
28,37.83,0.01,5.14,7.22,28,16,I,0,7
29,48.25,0.01,5.82,8.12,28,16,I,0,7
30,36.89,0.01,5.57,7.61,28,16,I,0,7
31,36.75,0.01,5.62,7.49,28,16,I,0,7
32,36.75,0.01,5.64,7.59,28,16,I,0,7
33,37.25,0.01,5.99,7.97,28,16,I,0,7
34,37.83,0.01,5.14,7.22,28,16,I,0,7
35,51.76,0.01,6.19,8.47,28,16,I,0,7
36,53.1,0.01,6.23,8.61,28,16,I,0,7
37,56.64,0.01,6.5,8.83,28,16,I,0,7
38,57.66,0.01,6.5,8.83,28,16,I,0,7
39,52.7,0.01,6.26,8.56,28,16,I,0,7
40,53.1,0.01,6.23,8.61,28,16,I,0,7
41,52.53,0.01,6.64,8.97,28,16,I,0,7
42,49.64,0.01,6.78,9.15,28,16,I,0,7
43,36.75,0.01,5.71,7.54,28,16,I,0,7
44,36.75,0.01,5.73,7.69,28,16,I,0,7
45,47.25,0.01,5.78,7.99,28,16,I,0,7
46,51.53,0.01,6.56,8.89,28,16,I,0,7
47,37.13,0.01,5.08,7.14,28,16,I,0,7
48,37.83,0.01,5.08,7.14,28,16,I,0,7
49,49.27,0.01,6.64,8.97,28,16,I,0,7
50,49.91,0.01,6.04,8.29,28,16,I,0,7
10A,51.53,0.01,6.56,8.89,28,16,I,0,7
10B,52.76,0.01,6.25,8.57,28,16,I,0,7
10C,52.73,0.01,6.79,8.96,28,16,I,0,7
10D,49.27,0.01,6.64,8.97,28,16,I,0,7
10E,51.53,0.01,6.56,8.89,28,16,I,0,7
1,43.61,0.01,6.03,8.28,30,17,J,0,8
2,51.77,0.01,7.14,9.82,30,17,J,0,8
3,47.25,0.01,5.78,7.99,30,17,J,0,8
4,57.86,0.01,6.57,8.97,30,17,J,0,8
5,50.77,0.01,7.1,9.71,30,17,J,0,8
6,46.65,0.01,5.78,7.95,30,17,J,0,8
7,51.77,0.01,7.14,9.82,30,17,J,0,8
8,46.43,0.01,6.53,8.61,30,17,J,0,8
9,50.77,0.01,7.1,9.71,30,17,J,0,8
10,43.61,0.01,6.11,8.37,30,17,J,0,8
